Name,METADATA Attribute,Required,Value Set Code,Category,Context,Description
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_MT)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Montana W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_ND)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","North Dakota W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_NE)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Nebraska W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_NJ)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","New Jersey W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_NM)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","New Mexico W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_OH)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Ohio W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_OR)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Oregon W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_PA)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Pennsylvania W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_PR)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Puerto Rico W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_RI)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Rhode Island W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_SC)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","South Carolina W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_UT)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Utah W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_VI)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Virgin Islands W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_VT)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Vermont W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_WI)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","Wisconsin W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_PSU_W2_RULES_WV)","No","HRC_CHAR_8","Payroll Statutory Unit For United States","West Virginia W-2 Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_FEDERAL_RULES)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Federal Year-End Reporting Rules","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_AR)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Arkansas W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_AZ)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Arizona W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_CO)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Colorado W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_DC)","No","HRC_CHAR_8","Tax Reporting Unit For United States","District of Columbia W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_DE)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Delaware W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_IA)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Iowa W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_ID)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Idaho W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_IL)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Illinois W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_KS)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Kansas W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_KY)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Kentucky W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_LA)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Louisiana W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_MD)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Maryland W-2 Reporting Rules Overrides","Captures the user identification."
"User Identification","_USER_IDENTIFICATION(PER_ORGANIZATION_INFORMATION_EFF=HRX_US_TRU_W2_RULES_ME)","No","HRC_CHAR_8","Tax Reporting Unit For United States","Maine W-2 Reporting Rules Overrides","Captures the user identification."
